IMU_0,IMU_1,IMU_2,IMU_3,IMU_4,IMU_5,IMU_6,IMU_7,IMU_8,IMU_9,IMU_10,IMU_11,Label
-413.7386169433594,-897.1513671875,920.2703857421875,-65626.75,-78157.625,-156431.625,-165.10260009765625,-922.3687744140625,960.1522216796875,-80331.125,-87473.75,-143059.0,run
-505.372802734375,-691.4593505859375,947.4275512695312,-58452.625,-56197.75,-147179.375,-276.54962158203125,-729.6941528320312,1008.2080078125,-74230.625,-60914.875,-135511.25,run
-603.0216064453125,-268.8025817871094,955.0891723632812,-56125.125,2625.875,-101856.125,-416.2029724121094,-326.3377990722656,1037.1220703125,-71190.0,-7461.125,-89134.5,run
-542.3753662109375,56.339599609375,979.8307495117188,-64403.5,13496.0,-74624.375,-387.5574035644531,4.160194396972656,1060.86328125,-75622.75,7148.75,-63681.625,run
-509.13043212890625,301.0106201171875,1009.5866088867188,-57308.125,23561.125,-73918.25,-379.9812316894531,256.6513977050781,1089.5211181640625,-69074.25,16233.875,-63425.25,run
-542.0216064453125,576.510986328125,1013.3929443359375,-44839.375,6384.0,-62622.875,-438.2483825683594,527.1254272460938,1102.794677734375,-52238.375,603.75,-53866.75,run
-581.6959838867188,857.7819213867188,993.1409912109375,-30473.625,13085.625,-45829.0,-513.0587768554688,795.4034423828125,1098.3172607421875,-36672.125,9605.75,-40812.625,run
-701.2437744140625,1193.6724853515625,926.8341064453125,-6104.0,59346.0,-14833.875,-687.07958984375,1109.8463134765625,1055.7879638671875,-13054.125,55671.0,-12438.125,run
-877.68017578125,1325.676513671875,890.1364135742188,7441.0,73952.375,54619.25,-873.5078125,1211.289306640625,1053.7017822265625,9939.125,74536.0,56016.625,run
-892.5276489257812,1210.4107666015625,918.8551635742188,16912.0,101126.375,108910.375,-873.1052856445312,1098.939453125,1081.1395263671875,23965.375,105182.0,109027.625,run
-838.005859375,939.59521484375,989.6517333984375,19569.375,68250.875,128653.875,-770.8326416015625,836.1759033203125,1141.9443359375,32992.75,74670.75,127808.625,run
-803.8214111328125,709.8570556640625,1091.497314453125,32390.75,44340.625,132790.875,-693.1673583984375,613.5746459960938,1232.931884765625,51183.125,54404.0,129122.0,run
-772.0404052734375,328.78997802734375,1163.648193359375,61304.25,18496.625,134362.375,-604.7174072265625,242.47500610351562,1286.84375,80365.25,30483.25,123709.25,run
-740.9547729492188,81.84980010986328,1092.619873046875,54469.625,-12757.5,129226.125,-552.4891967773438,-4.745800971984863,1203.1395263671875,75806.5,830.375,120022.875,run
-614.8555908203125,-311.8076171875,918.0988159179688,-13048.875,-24552.5,85911.0,-418.2281799316406,-382.7749938964844,998.5822143554688,3200.75,-25095.875,83328.0,run
-507.43463134765625,-564.2744140625,849.2664184570312,-61508.125,9515.625,25150.125,-303.4505920410156,-620.3944091796875,916.2809448242188,-62174.875,-3043.25,32569.25,run
-461.31866455078125,-834.6995849609375,840.3238525390625,-95459.0,-36376.375,-67508.875,-222.6134033203125,-874.0567626953125,896.0289306640625,-96037.375,-62737.5,-52011.75,run
-495.7835998535156,-932.5680541992188,887.4402465820312,-79180.5,-87098.375,-109561.375,-234.239990234375,-966.1790161132812,950.3922119140625,-78999.375,-116878.125,-97596.625,run
-618.7595825195312,-915.4757690429688,942.3401489257812,-7381.5,-121241.75,-119911.75,-347.5780029296875,-960.8719482421875,1033.949951171875,-4013.625,-140427.0,-116164.125,run
-668.803955078125,-828.7703857421875,887.76953125,33310.375,-128502.5,-93818.375,-412.7992248535156,-877.2531127929688,982.9417724609375,43451.625,-139843.375,-99483.125,run
-598.6783447265625,-660.1297607421875,701.2926025390625,25011.0,-84798.875,-63878.5,-400.8066101074219,-713.8951416015625,792.1338500976562,24655.75,-87618.125,-68616.625,run
-502.72540283203125,-513.6077880859375,639.70703125,-18101.125,-29209.25,-65254.0,-343.46661376953125,-566.9217529296875,720.5076904296875,-24941.875,-34754.125,-62388.375,run
-436.735595703125,-309.4285888671875,696.6199951171875,-57732.5,33540.5,-80314.5,-297.71661376953125,-358.6311950683594,766.9407958984375,-74004.875,25978.75,-69335.0,run
-489.1102600097656,111.1419906616211,950.7703247070312,-76872.25,43898.75,-84398.125,-351.1159973144531,56.498199462890625,1031.6685791015625,-93370.375,36503.25,-69349.0,run
-552.0621948242188,448.581787109375,1136.674072265625,-66618.125,60316.375,-76444.375,-422.1809997558594,384.94659423828125,1229.833251953125,-81158.0,52050.25,-63341.25,run
-663.875244140625,923.8816528320312,1291.3212890625,-26169.5,93066.75,-50266.125,-559.4188232421875,849.6080932617188,1400.7919921875,-41828.5,87474.625,-43258.25,run
-751.6298217773438,1237.0191650390625,1169.3455810546875,15034.25,100653.0,21924.875,-696.7054443359375,1150.7039794921875,1294.846923828125,8106.0,100885.75,22582.875,run
-743.1142578125,1248.12109375,1095.877197265625,17640.875,107087.75,37444.75,-701.6342163085938,1162.47705078125,1219.8048095703125,11283.125,105723.625,37197.125,run
-714.8102416992188,1075.3447265625,848.3634643554688,12412.75,81786.25,79546.25,-688.1166381835938,982.6856689453125,971.72998046875,15507.625,78288.0,79020.375,run
-748.20166015625,897.4441528320312,818.0953369140625,15463.0,60343.5,101511.375,-704.0742797851562,802.6257934570312,946.6224365234375,24675.0,57995.0,101099.25,run
-784.4600830078125,675.1724243164062,837.0296630859375,23839.375,53589.375,128991.625,-710.3694458007812,581.4763793945312,965.88623046875,37010.75,49775.25,125289.5,run
-790.3038330078125,279.23358154296875,846.0577392578125,15370.25,16470.125,157951.5,-665.6807861328125,188.13619995117188,968.6921997070312,37590.0,13237.875,155458.625,run
-610.2562255859375,-286.4194641113281,901.9337768554688,-17704.75,8863.75,115335.5,-414.77557373046875,-346.9435729980469,984.2838745117188,-1670.375,4516.75,107113.125,run
-507.00762939453125,-518.4634399414062,947.8668212890625,-25075.75,5502.0,50447.25,-280.35601806640625,-565.9091796875,1009.6598510742188,-17542.0,-1809.5,45697.75,run
-454.49884033203125,-729.072021484375,964.7393798828125,-20423.375,-79181.375,-45304.875,-194.91940307617188,-766.1722412109375,1010.79443359375,-18094.125,-86796.5,-51496.375,run
